No,cBB,cmd,d1,d2,d3,gBB,iJp,tJpV,tUB,tUS,timestamp,error
82,0,1003,4,1,1,723288263,FALSE,278821065,2257,2085,1621685305,
83,0,1003,6,1,1,755617316,FALSE,281087917,2502,2083,1621685376,
84,0,1003,4,3,2,794755715,FALSE,283472185,2203,2352,1621685447,
85,0,1003,3,5,5,780606551,FALSE,285814005,2436,2094,1621685519,
86,0,1003,2,1,1,720626856,FALSE,287975886,2244,2053,1621685589,
87,0,1003,2,3,4,752939378,FALSE,290234705,1914,2567,1621685660,
88,0,1003,6,2,4,845963640,FALSE,292772596,2329,2261,1621685731,
89,0,1003,4,2,3,773081451,FALSE,295091841,2375,2063,1621685802,
90,0,1003,5,4,6,764159956,FALSE,297384322,2110,2409,1621685873,
91,0,1003,4,2,3,731988420,FALSE,299580287,2226,2302,1621685946,
92,0,1003,2,2,6,746858484,FALSE,301820863,2828,1643,1621686016,
93,0,1003,6,6,3,792049290,FALSE,304197011,2315,1970,1621686087,
94,0,1003,2,2,6,870646411,FALSE,306808950,2502,1994,1621686157,
95,0,1003,3,6,2,769304310,FALSE,309116863,2138,2234,1621686228,
96,0,1003,1,6,1,964900589,FALSE,312011565,1758,2758,1621686299,
97,0,1003,5,2,2,860276116,FALSE,314592393,2058,2377,1621686376,
98,0,1003,5,1,6,748818293,FALSE,316838847,2486,2009,1621686442,
99,0,1003,4,1,3,929978225,FALSE,319628782,2050,2409,1621686515,
100,0,1003,1,6,6,871273148,FALSE,322242602,2333,2209,1621686584,
101,0,1003,2,3,3,999106832,FALSE,325239924,1916,2798,1621686655,
102,0,1003,4,4,4,966201932,FALSE,328138530,2291,2471,1621686726,
103,0,1003,1,5,1,957137078,FALSE,331009942,2043,2591,1621686797,
104,0,1003,4,5,5,866471340,FALSE,333609356,2545,2194,1621686868,
105,0,1003,2,6,4,880784789,FALSE,336251710,2173,2603,1621686940,
106,0,1003,5,6,1,858432961,FALSE,338827009,2411,1870,1621687010,
107,0,1003,2,6,5,810218364,FALSE,341257665,2538,1973,1621687081,
108,0,1003,4,4,4,836009703,FALSE,343765695,2611,2189,1621687153,
109,0,1003,2,2,5,707509388,FALSE,345888224,2483,2024,1621687223,
110,0,1003,2,6,2,879549275,FALSE,348526872,1937,2429,1621687295,
111,0,1003,6,3,5,771552869,FALSE,350841530,1825,2465,1621687365,
112,0,1003,1,2,3,716454587,FALSE,352990895,2483,1760,1621687436,
113,0,1003,1,3,1,807763151,FALSE,355414185,2252,1951,1621687509,
114,0,1003,6,3,2,862435382,FALSE,358001491,2436,1970,1621687578,
115,0,1003,4,2,3,750044197,FALSE,360251624,1873,2435,1621687649,
116,0,1003,6,6,2,892872577,FALSE,362930241,1911,2495,1621687723,
117,0,1003,6,6,2,811726187,FALSE,365365420,2168,2392,1621687791,
118,0,1003,3,5,5,762830826,FALSE,367653913,2280,1997,1621687863,
119,0,1003,6,5,4,789269406,FALSE,370021721,2377,2117,1621687934,
120,0,1003,6,3,4,965720449,FALSE,372918882,2473,2139,1621688005,
121,0,1003,5,2,6,730961535,FALSE,375111767,2396,2119,1621688076,
122,0,1003,4,4,4,710460231,FALSE,377243147,2375,2323,1621688147,
123,0,1003,1,1,5,650391878,FALSE,379194322,2240,2290,1621688218,
124,0,1003,6,6,5,777922515,FALSE,381528090,2178,2155,1621688289,
125,0,1003,2,5,4,770029787,FALSE,383838180,2259,2146,1621688360,
126,0,1003,3,4,6,724696437,FALSE,386012269,2311,1956,1621688431,
127,0,1003,3,4,3,756850217,FALSE,388282821,2590,1784,1621688502,
128,0,1003,1,1,6,643689232,FALSE,390213889,1918,2046,1621688574,
129,0,1003,3,6,1,826104381,FALSE,392692202,1946,2184,1621688649,
130,0,1003,4,3,6,556515442,FALSE,394361748,2315,1790,1621688715,
131,0,1003,4,5,3,689000416,FALSE,396428749,2453,1726,1621688790,
132,0,1003,2,3,1,726529315,FALSE,398608338,2459,1877,1621688857,
133,0,1003,1,3,1,711343092,FALSE,400742368,1553,2491,1621688928,
134,0,1003,6,4,1,754019852,FALSE,403004428,2192,2127,1621688999,
135,0,1003,3,6,3,850439715,FALSE,405555748,2619,1705,1621689071,
136,0,1003,3,4,5,529906329,FALSE,407145467,1578,2703,1621689142,
137,0,1003,3,6,4,662138998,FALSE,409131884,1916,2119,1621689216,
138,0,1003,3,5,2,635990508,FALSE,411039856,2342,1811,1621689284,
139,0,1003,5,5,3,631158241,FALSE,412933331,1703,2305,1621689357,
140,0,1003,5,2,1,651221336,FALSE,414886995,2069,1851,1621689426,
141,0,1003,2,5,2,551783213,FALSE,416542345,2398,1590,1621689497,
142,0,1003,1,1,2,639295533,FALSE,418460233,2089,1728,1621689568,
143,0,1003,3,4,5,804244946,FALSE,420872968,1870,2001,1621689639,
144,0,1003,5,2,3,578333810,FALSE,422607970,1925,1719,1621689710,
145,0,1003,2,5,6,681507509,FALSE,424652493,1965,1729,1621689781,
146,0,1003,6,3,4,538533066,FALSE,426268092,1636,2195,1621689852,
147,0,1003,3,6,2,695115770,FALSE,428353440,1922,1840,1621689923,
148,0,1003,3,2,6,554049682,FALSE,430015589,1812,1865,1621689995,
149,0,1003,6,2,1,636416777,FALSE,431924840,1933,1852,1621690066,
150,0,1003,6,5,6,655218671,FALSE,433890496,1769,1809,1621690140,
151,0,1003,3,2,6,671487607,FALSE,435904959,1970,1761,1621690207,
152,0,1003,2,2,2,655801913,FALSE,437872365,2000,1599,1621690278,
153,0,1003,4,1,1,790799105,FALSE,440244762,1328,2406,1621690349,
154,0,1003,4,1,2,783118857,FALSE,442594119,1349,2348,1621690420,
155,0,1003,3,3,6,622585284,FALSE,444461876,1847,1991,1621690491,
156,0,1003,4,4,4,654187516,FALSE,446424439,2030,1719,1621690562,
157,0,1003,3,3,3,587310181,FALSE,448186370,2031,1713,1621690633,
158,0,1003,1,3,5,614556889,FALSE,450030041,1770,2090,1621690705,
159,0,1003,2,4,5,611981127,FALSE,451865984,1946,1836,1621690775,
160,0,1003,5,4,1,616273320,FALSE,453714804,2346,1458,1621690846,
161,0,1003,2,3,5,573945478,FALSE,455436641,1945,1627,1621690920,
162,0,1003,6,3,3,587940963,FALSE,457200464,2132,1510,1621690989,
163,0,1003,5,6,4,570584144,FALSE,458912217,1871,1712,1621691060,
164,0,1003,4,5,1,630898614,FALSE,460804913,1907,1693,1621691132,
165,0,1003,6,3,3,626134928,FALSE,462683318,1550,2192,1621691202,
166,0,1003,6,6,5,600746823,FALSE,464485558,1830,1786,1621691273,
167,0,1003,1,2,6,691548718,FALSE,466560205,1782,1940,1621691348,
168,0,1003,5,5,3,614362612,FALSE,468403293,1796,1892,1621691415,
169,0,1003,1,3,6,723031875,FALSE,470572388,1921,1709,1621691486,
170,0,1003,2,1,5,719789897,FALSE,472731758,2023,1567,1621691557,
171,0,1003,4,4,1,759512498,FALSE,475010296,2073,1495,1621691628,
172,0,1003,6,3,3,609807886,FALSE,476839720,1862,1606,1621691699,
173,0,1003,6,1,2,591880345,FALSE,478615360,1905,1573,1621691770,
174,0,1003,3,6,5,643605322,FALSE,480546176,1760,1649,1621691841,
175,0,1003,2,5,5,535763761,FALSE,482153467,1728,1726,1621691917,
176,0,1003,3,1,2,696490318,FALSE,484242938,1692,1762,1621691983,
177,0,1003,5,3,6,552390876,FALSE,485900111,1625,1439,1621692054,
178,0,1003,2,1,4,524397718,FALSE,487473304,1744,1541,1621692125,
179,0,1003,2,5,5,574905656,FALSE,489198021,1724,1596,1621692196,
180,0,1003,6,3,1,545774640,FALSE,490835345,1242,2115,1621692269,
181,0,1003,3,1,5,572255918,FALSE,492552113,1994,1387,1621692340,
182,0,1003,4,5,6,497840182,FALSE,494045634,1656,1482,1621692411,
183,0,1003,3,4,5,504584986,FALSE,495559389,1638,1447,1621692481,
184,0,1003,2,5,3,464120167,FALSE,496951750,1405,1951,1621692552,
185,0,1003,4,2,5,545338034,FALSE,498587764,1310,1927,1621692623,
186,0,1003,4,4,5,513451663,FALSE,500128119,1555,1519,1621692694,
187,0,1003,5,5,6,464382925,FALSE,501521268,1315,1892,1621692765,
188,0,1003,2,1,3,489748532,FALSE,502990513,1630,1452,1621692839,
189,0,1003,1,3,1,559173573,FALSE,504668034,1429,1505,1621692907,
190,0,1003,6,1,4,536135608,FALSE,506276441,1400,1644,1621692978,
191,0,1003,1,4,1,497810884,FALSE,507769874,1592,1306,1621693049,
192,0,1003,3,5,1,511319788,FALSE,509303834,1423,1448,1621693125,
193,0,1003,4,3,5,556062607,FALSE,510972022,1699,1229,1621693191,
194,0,1003,5,1,4,514192076,FALSE,512514599,1428,1481,1621693262,
195,0,1003,5,5,3,603385754,FALSE,514324756,1317,1639,1621693333,
196,0,1003,4,6,6,428439741,FALSE,515610075,1262,1533,1621693404,
197,0,1003,6,2,1,572315603,FALSE,517327022,1281,1562,1621693475,
198,0,1003,4,1,1,557138367,FALSE,518998438,1505,1310,1621693546,
199,0,1003,2,1,3,619305445,FALSE,520856355,1551,1358,1621693617,
200,0,1003,6,1,1,651002358,FALSE,522809362,1640,1310,1621693688,
201,0,1003,4,2,3,514855279,FALSE,524353928,1352,1473,1621693759,
202,0,1003,3,5,3,453379271,FALSE,525714066,1431,1373,1621693830,
203,0,1003,3,5,1,453480495,FALSE,527074507,1289,1326,1621693901,
204,0,1003,6,1,5,500264762,FALSE,528575301,1261,1313,1621693976,
205,0,1003,1,6,5,450951516,FALSE,529928156,1114,1556,1621694043,
206,0,1003,3,2,5,551275752,FALSE,531581983,1251,1410,1621694114,
207,0,1003,5,4,4,451277448,FALSE,532935815,1272,1259,1621694185,
208,0,1003,6,3,1,503906790,FALSE,534447536,1523,1137,1621694257,
209,0,1003,3,3,2,416158252,FALSE,535696011,1499,1189,1621694328,
210,0,1003,6,4,4,456879134,FALSE,537066649,1261,1287,1621694399,
211,0,1003,3,4,6,449930190,FALSE,538416440,1358,1152,1621694470,
212,0,1003,1,4,3,457506637,FALSE,539788960,1273,1334,1621694541,
213,0,1003,2,5,5,472861737,FALSE,541207545,1091,1554,1621694613,
214,0,1003,4,6,6,475392925,FALSE,542633724,1255,1212,1621694683,
215,0,1003,6,4,3,483678753,FALSE,544084760,1225,1424,1621694758,
216,0,1003,1,5,2,545982985,FALSE,545722709,1182,1415,1621694825,
217,0,1003,4,4,2,451378317,FALSE,547076845,1218,1250,1621694896,
218,0,1003,3,3,5,428169090,FALSE,548361353,1378,1088,1621694967,
219,0,1003,6,1,1,479005137,FALSE,549798369,1239,1270,1621695038,
220,0,1003,5,1,3,379094024,FALSE,550935651,1122,1311,1621695109,
221,0,1003,4,2,3,486596756,FALSE,552395441,1501,1005,1621695180,
222,0,1003,5,4,4,459315410,FALSE,553773387,1396,1079,1621695251,
223,0,1003,1,5,1,458623829,FALSE,555149259,1249,1165,1621695322,
224,0,1003,4,2,3,464650182,FALSE,556543209,1167,1327,1621695393,
225,0,1003,1,2,4,417753558,FALSE,557796469,1196,1278,1621695464,
226,0,1003,1,4,5,438818161,FALSE,559112923,1492,1148,1621695535,
227,0,1003,6,2,4,449272260,FALSE,560460740,1409,1123,1621695607,
228,0,1003,5,4,6,422114089,FALSE,561727082,1164,1263,1621695677,
229,0,1003,3,2,3,445541900,FALSE,563063708,1411,1082,1621695749,
230,0,1003,3,2,4,376023513,FALSE,564191778,1121,1290,1621695820,
231,0,1003,2,2,5,498043946,FALSE,565685910,1484,1031,1621695891,
232,0,1003,1,6,6,402027934,FALSE,566891994,1451,1093,1621695962,
233,0,1003,1,5,6,532221762,FALSE,568488659,1348,1147,1621696033,
234,0,1003,4,6,2,393261127,FALSE,569668443,1246,1271,1621696104,
235,0,1003,5,5,2,397403866,FALSE,570860655,1215,1315,1621696175,
236,0,1003,3,1,3,353054349,FALSE,571919818,1285,1224,1621696246,
237,0,1003,5,1,3,376495154,FALSE,573049303,1027,1410,1621696317,
238,0,1003,3,1,1,561574806,FALSE,574734027,1313,1209,1621696389,
239,0,1003,2,1,5,516492637,FALSE,576283505,1162,1362,1621696459,
240,0,1003,5,2,5,601579681,FALSE,578088244,1232,1343,1621696530,
241,0,1003,2,5,2,563814332,FALSE,579779687,1701,794,1621696604,
242,0,1003,2,1,6,464670149,FALSE,581173697,1127,1147,1621696676,
243,0,1003,1,5,2,692988348,FALSE,583252662,1458,948,1621696743,
244,0,1003,6,1,1,738908162,FALSE,585469387,1561,664,1621696814,
245,0,1003,5,6,6,666574720,FALSE,587469111,1433,848,1621696885,
246,0,1003,1,4,1,415732940,FALSE,588716310,1297,941,1621696956,
247,0,1003,4,1,1,521840607,FALSE,590281832,953,1399,1621697027,
248,0,1003,6,1,3,545319403,FALSE,591917791,905,1505,1621697099,
249,0,1003,2,4,6,525974373,FALSE,593495714,1365,1012,1621697169,
250,0,1003,3,5,2,442653324,FALSE,594823674,985,1216,1621697240,
251,0,1003,4,6,3,478682068,FALSE,596259720,857,1435,1621697311,
252,0,1003,3,6,2,381460665,FALSE,597404103,1145,853,1621697382,
253,0,1003,3,1,1,321116369,FALSE,598367452,1282,587,1621697453,
254,0,1003,2,2,1,379870971,FALSE,599507065,1027,750,1621697524,
255,0,1003,2,6,2,358866662,FALSE,600583665,959,1007,1621697595,
256,0,1003,5,2,5,304216684,FALSE,601496315,1259,789,1621697666,
257,0,1003,1,6,1,380939139,FALSE,602639132,937,968,1621697737,
258,0,1003,5,3,4,419589451,FALSE,603897901,1164,604,1621697808,
259,0,1003,2,3,1,447939491,FALSE,605241720,1111,739,1621697879,
260,0,1003,4,4,5,308418829,FALSE,606166976,1116,827,1621697950,
261,0,1003,6,3,3,404321382,FALSE,607379940,959,864,1621698022,
262,0,1003,5,5,3,361462887,FALSE,608464329,1142,526,1621698092,
263,0,1003,2,1,5,342543977,FALSE,609491961,1256,557,1621698164,
264,0,1003,4,5,6,558814639,FALSE,611168404,1166,498,1621698235,
265,0,1003,6,6,4,508884981,FALSE,612695059,649,1087,1621698306,
266,0,1003,2,3,2,338258058,FALSE,613709833,1220,698,1621698377,
267,0,1003,6,6,1,654292929,FALSE,615672712,1242,472,1621698448,
268,0,1003,3,6,4,421388345,FALSE,616936877,1363,510,1621698519,
269,0,1003,4,3,2,343170879,FALSE,617966390,1034,689,1621698590,
270,0,1003,2,2,2,610850687,FALSE,619798942,1457,409,1621698661,
271,0,1003,2,2,6,465101908,FALSE,621194248,952,914,1621698734,
272,0,1003,4,6,2,588643801,FALSE,622960179,1472,412,1621698803,
273,0,1003,5,1,3,408212107,FALSE,624184815,568,1154,1621698874,
274,0,1003,1,3,2,395034549,FALSE,625369919,433,1361,1621698946,
275,0,1003,4,1,3,397810039,FALSE,626563349,455,1468,1621699016,
276,0,1003,5,4,6,310128308,FALSE,627493734,707,1153,1621699087,
277,0,1003,6,4,2,368753754,FALSE,628599995,541,1181,1621699158,
278,0,1003,4,5,6,382366735,FALSE,629747095,709,1093,1621699229,
279,0,1003,6,3,3,342880143,FALSE,630775735,890,1025,1621699300,
280,0,1003,5,3,4,407002932,FALSE,631996744,1139,587,1621699371,
281,0,1003,2,2,6,322924232,FALSE,632965517,1118,660,1621699442,
282,0,1003,1,1,6,644636066,FALSE,634899426,511,1146,1621699517,
283,0,1003,2,6,1,470076444,FALSE,636309655,1134,602,1621699584,
284,0,1003,3,4,3,769182774,FALSE,638617203,1327,441,1621699655,
285,0,1003,3,2,2,509702953,FALSE,640146312,1016,727,1621699726,
286,0,1003,3,4,2,315283971,FALSE,641092164,664,835,1621699797,
287,0,1003,5,2,2,298354265,FALSE,641987227,652,921,1621699868,
288,0,1003,3,4,5,280414618,FALSE,642828471,704,854,1621699940,
289,0,1003,3,3,4,467821545,FALSE,644231936,1170,425,1621700011,
290,0,1003,2,4,3,331012223,FALSE,645224973,733,811,1621700081,
291,0,1003,4,3,5,405962324,FALSE,646442860,936,535,1621700153,
292,0,1003,5,4,5,389840050,FALSE,647612380,397,1041,1621700223,
293,0,1003,2,3,6,369026995,FALSE,648719461,708,845,1621700294,
294,0,1003,3,5,1,287425000,FALSE,649581736,702,875,1621700365,
295,0,1003,5,1,5,431152964,FALSE,650875195,808,795,1621700436,
296,0,1003,4,4,3,668623197,FALSE,652881064,977,410,1621700507,
297,0,1003,5,4,1,365078657,FALSE,653976300,1062,454,1621700578,
298,0,1003,6,2,4,506572062,FALSE,655496017,1060,357,1621700649,
299,0,1003,1,3,4,491354723,FALSE,656970081,1077,478,1621700720,
300,0,1003,1,3,6,978794374,FALSE,659906464,506,841,1621700791,
301,0,1003,4,3,1,968958875,FALSE,662813341,506,865,1621700865,
302,0,1003,5,2,3,233325795,FALSE,663513318,468,891,1621700934,
303,0,1003,1,6,1,411503607,FALSE,664747829,967,700,1621701005,
304,0,1003,1,1,1,275265344,FALSE,665573625,520,901,1621701076,
305,0,1003,3,5,3,399619679,FALSE,666772484,507,1030,1621701147,
306,0,1003,4,1,4,301906225,FALSE,667678203,794,748,1621701218,
307,0,1003,5,4,5,366258937,FALSE,668776980,857,614,1621701289,
308,0,1003,1,4,6,319482560,FALSE,669735427,894,464,1621701364,
309,0,1003,1,4,5,446441787,FALSE,671074752,378,1106,1621701431,
310,0,1003,5,1,2,292382983,FALSE,671951901,882,702,1621701502,
311,0,1003,6,6,2,262731046,FALSE,672740094,816,774,1621701574,
312,0,1003,3,4,6,295197946,FALSE,673625688,1052,585,1621701649,
313,0,1003,2,1,1,304158678,FALSE,674538164,686,967,1621701715,
314,0,1003,5,2,5,338299957,FALSE,675553064,584,1154,1621701790,
315,0,1003,5,2,6,274483509,FALSE,676376515,707,818,1621701857,
316,0,1003,6,2,5,284626395,FALSE,677230394,708,889,1621701932,
317,0,1003,5,1,2,215266873,FALSE,677876195,739,740,1621701999,
318,0,1003,4,5,6,280963307,FALSE,678719085,675,853,1621702070,
319,0,1003,6,5,1,281460613,FALSE,679563467,908,649,1621702141,
320,0,1003,2,4,5,267458242,FALSE,680365842,888,670,1621702213,
321,0,1003,5,5,1,235118734,FALSE,681071198,634,915,1621702283,
322,0,1003,2,3,6,244467993,FALSE,681804602,711,735,1621702354,
323,0,1003,1,4,4,211069545,FALSE,682437811,747,739,1621702425,
324,0,1003,1,6,3,291117369,FALSE,683311163,734,737,1621702497,
325,0,1003,1,6,4,293329010,FALSE,684191150,618,802,1621702567,
326,0,1003,2,6,6,302834011,FALSE,685099652,863,608,1621702638,
327,0,1003,3,3,1,299545724,FALSE,685998289,740,759,1621702709,
328,0,1003,1,3,1,338245872,FALSE,687013027,593,952,1621702780,
329,0,1003,3,2,5,241148956,FALSE,687736474,754,714,1621702852,
330,0,1003,6,6,4,218113893,FALSE,688390815,676,710,1621702923,
331,0,1003,6,5,6,263247723,FALSE,689180558,816,568,1621702994,
332,0,1003,4,1,1,338021523,FALSE,690194623,813,623,1621703064,
333,0,1003,1,2,6,283377921,FALSE,691044757,517,913,1621703136,
334,0,1003,5,1,2,278321318,FALSE,691879721,659,782,1621703207,
335,0,1003,3,6,3,247925991,FALSE,692623499,767,695,1621703278,
336,0,1003,3,3,5,296693453,FALSE,693513580,906,553,1621703349,
337,0,1003,4,4,5,232432006,FALSE,694210876,635,777,1621703420,
338,0,1003,2,6,1,308476990,FALSE,695136307,715,630,1621703491,
339,0,1003,4,2,2,316385127,FALSE,696085463,581,864,1621703562,
340,0,1003,4,6,4,260642365,FALSE,696867390,634,796,1621703633,
341,0,1003,2,4,1,315341059,FALSE,697813413,828,567,1621703704,
342,0,1003,1,6,3,218468910,FALSE,698468820,636,686,1621703775,
343,0,1003,5,2,3,210122222,FALSE,699099187,723,538,1621703846,
344,0,1003,3,1,1,225750603,FALSE,699776439,758,589,1621703917,
345,0,1003,1,5,3,231886734,FALSE,700472100,562,781,1621703988,
346,0,1003,3,5,1,192155474,FALSE,701048566,722,638,1621704059,
347,0,1003,3,1,1,204395359,FALSE,701661752,625,699,1621704130,
348,0,1003,4,2,4,355051090,FALSE,702726905,728,660,1621704202,
349,0,1003,1,6,2,173946701,FALSE,703248745,756,621,1621704272,
350,0,1003,4,3,1,186473070,FALSE,703808165,642,689,1621704343,
351,0,1003,2,3,2,273165462,FALSE,704627661,585,695,1621704414,
352,0,1003,1,5,4,196237514,FALSE,705216374,732,694,1621704485,
353,0,1003,2,3,6,235990321,FALSE,705924345,470,768,1621704557,
354,0,1003,5,5,2,256239976,FALSE,706693065,617,587,1621704627,
355,0,1003,6,6,5,232779768,FALSE,707391404,767,474,1621704698,
356,0,1003,5,6,5,225040921,FALSE,708066527,809,461,1621704769,
357,0,1003,6,2,4,220673687,FALSE,708728548,917,455,1621704840,
358,0,1003,4,2,3,221089365,FALSE,709391816,877,540,1621704911,
359,0,1003,3,4,4,232194234,FALSE,710088399,509,785,1621704982,
360,0,1003,6,3,2,221672165,FALSE,710753416,701,574,1621705053,
361,0,1003,3,6,3,219600626,FALSE,711412218,694,568,1621705124,
362,0,1003,3,2,2,244499394,FALSE,712145716,717,577,1621705196,
363,0,1003,3,3,4,205178416,FALSE,712761251,570,666,1621705266,
364,0,1003,5,4,2,215905331,FALSE,713408967,623,607,1621705337,
365,0,1003,6,3,3,278126346,FALSE,714243346,711,548,1621705408,
366,0,1003,6,5,5,195030331,FALSE,714828437,617,616,1621705479,
367,0,1003,3,1,5,257902169,FALSE,715602144,678,619,1621705550,
368,0,1003,1,1,4,200221376,FALSE,716202808,480,766,1621705621,
369,0,1003,5,2,1,253054344,FALSE,716961971,572,691,1621705692,
370,0,1003,6,6,3,181996167,FALSE,717507960,665,591,1621705763,
